_RAJ2000,_DEJ2000,SDSS,z,F1.4GHz,F[OIII],rmag,Dn,sigma*,Cr,logLr,logL[OIII],logMBH,SimbadName,_RA,_DE
08 53 21.5400,+33 16 29.900,J085321.54+331629.9,0.126,28.1,15.7,15.838,1.92,266,2.93,40.24,39.84,8.6,SDSS J085321.54+331629.9,133.33975,33.27497
08 57 19.4600,+24 11 42.600,J085719.46+241142.6,0.133,11.8,10.9,16.694,2.06,220,3.2,39.92,39.73,8.3,SDSS J085719.46+241142.6,134.33108,24.19517
09 00 18.1600,+07 45 35.500,J090018.16+074535.5,0.061,70.6,31.0,14.308,1.88,261,3.2,39.97,39.46,8.6,SDSS J090018.16+074535.5,135.07567,7.75986
09 02 45.4300,+16 47 10.400,J090245.43+164710.4,0.13,15.2,7.9,16.049,2.02,243,3.16,40.0,39.57,8.5,SDSS J090245.43+164710.4,135.68929,16.78622
09 05 43.5400,+40 17 04.800,J090543.54+401704.8,0.128,46.0,9.7,15.924,1.89,277,3.29,40.47,39.65,8.7,SDSS J090543.54+401704.8,136.43142,40.28467
09 14 42.0200,+15 21 55.700,J091442.02+152155.7,0.14,28.3,7.0,16.839,1.86,235,3.32,40.35,39.6,8.4,SDSS J091442.02+152155.7,138.67508,15.36547
09 20 49.0400,+40 39 52.800,J092049.04+403952.8,0.074,21.9,17.2,15.98,2.04,258,3.4,39.64,39.39,8.6,SDSS J092049.05+403952.8,140.20433,40.66467
09 29 35.0200,+62 56 59.300,J092935.02+625659.3,0.121,50.9,19.4,15.785,1.9,281,3.11,40.46,39.89,8.7,SDSS J092935.02+625659.3,142.39592,62.94981
09 30 58.7400,+03 48 27.700,J093058.74+034827.7,0.089,111.0,22.9,15.135,2.01,276,3.16,40.51,39.68,8.7,SDSS J093058.74+034827.7,142.74475,3.80769
09 33 05.2700,+29 10 15.100,J093305.27+291015.1,0.132,53.6,12.3,15.743,1.97,254,3.34,40.56,39.78,8.5,SDSS J093305.27+291015.1,143.27196,29.17086
09 42 02.0400,+10 58 18.300,J094202.04+105818.3,0.136,14.4,3.5,16.613,1.9,242,3.28,40.02,39.26,8.5,SDSS J094202.04+105818.3,145.5085,10.97175
09 43 32.9900,+33 41 58.300,J094332.99+334158.3,0.131,23.9,2.8,15.974,1.91,276,3.24,40.21,39.14,8.7,SDSS J094333.00+334158.3,145.88746,33.69953
09 46 14.5000,+58 19 37.600,J094614.50+581937.6,0.147,80.9,21.7,15.995,1.97,307,3.14,40.85,40.13,8.9,SDSS J094614.50+581937.6,146.56042,58.32711
09 55 27.7600,+03 45 16.800,J095527.76+034516.8,0.091,47.0,,16.615,1.81,190,3.1,40.16,,8.0,SDSS J095527.76+034516.8,148.86567,3.75467
10 04 51.8300,+54 34 04.300,J100451.83+543404.3,0.047,121.8,56.9,13.98,1.95,269,3.38,39.98,39.5,8.6,SDSS J100451.83+543404.3,151.21596,54.56786
10 07 57.0600,+28 01 47.900,J100757.06+280147.9,0.148,27.3,11.5,15.864,1.99,309,3.26,40.38,39.86,8.9,SDSS J100757.06+280147.9,151.98775,28.02997
10 08 04.1300,+50 26 42.800,J100804.13+502642.8,0.134,53.7,1.9,16.736,2.0,218,3.23,40.58,38.98,8.3,SDSS J100804.14+502642.8,152.01721,50.44522
10 11 14.3800,+19 14 25.700,J101114.38+191425.7,0.149,31.5,11.8,16.531,1.89,269,3.38,40.45,39.87,8.6,SDSS J101114.38+191425.7,152.80992,19.24047
10 15 45.4600,+31 15 00.200,J101545.46+311500.2,0.125,15.6,4.4,16.869,1.77,211,3.09,39.98,39.28,8.2,SDSS J101545.46+311500.2,153.93942,31.25006
10 19 37.9400,+00 19 55.700,J101937.94+001955.7,0.096,43.0,31.7,15.251,1.96,275,3.16,40.17,39.89,8.7,SDSS J101937.94+001955.7,154.90808,0.33214
10 20 08.6100,+17 48 17.400,J102008.61+174817.4,0.122,19.5,0.7,16.405,1.92,240,3.46,40.05,38.43,8.4,SDSS J102008.61+174817.4,155.03587,17.80483
10 23 14.2400,+48 31 22.000,J102314.24+483122.0,0.148,31.1,17.0,16.331,1.98,296,3.24,40.44,40.03,8.8,SDSS J102314.24+483122.0,155.80933,48.52278
10 26 03.8300,+39 05 24.000,J102603.83+390524.0,0.145,108.1,11.0,17.009,1.89,258,2.84,40.96,39.82,8.6,SDSS J102603.83+390524.0,156.51596,39.09
10 27 03.8300,+38 20 13.000,J102703.83+382013.0,0.123,41.0,9.0,15.916,1.87,209,3.17,40.38,39.58,8.2,SDSS J102703.83+382013.0,156.76596,38.33694
10 30 36.1500,+35 54 59.800,J103036.15+355459.8,0.124,50.0,8.5,15.487,2.05,325,3.4,40.47,39.56,9.0,SDSS J103036.15+355459.8,157.65062,35.91661
10 31 26.6000,+11 52 50.500,J103126.60+115250.5,0.144,25.2,12.7,16.291,1.98,259,3.15,40.32,39.87,8.6,SDSS J103126.60+115250.5,157.86083,11.88069
10 32 58.8800,+56 44 53.200,J103258.88+564453.2,0.045,213.4,114.6,13.549,1.97,280,3.08,40.18,39.76,8.7,SDSS J103258.88+564453.2,158.24533,56.74811
10 38 27.0100,+41 48 52.900,J103827.01+414852.9,0.125,43.0,14.7,16.366,1.82,193,3.23,40.42,39.8,8.1,SDSS J103827.01+414852.9,159.61254,41.81469
