_RAJ2000,_DEJ2000,SDSS,z,F1.4GHz,F[OIII],rmag,Dn,sigma*,Cr,logLr,logL[OIII],logMBH,SimbadName,_RA,_DE
14 14 27.1000,+28 28 30.500,J141427.10+282830.5,0.14,77.1,9.4,16.42,1.72,263,3.3,40.78,39.72,8.6,SDSS J141427.10+282830.5,213.61292,28.47514
14 16 52.9400,+10 48 26.700,J141652.94+104826.7,0.025,4581.1,228.7,12.057,1.97,341,3.06,40.98,39.53,9.1,SDSS J141652.94+104826.7,214.22058,10.80742
14 22 06.7900,+36 14 34.800,J142206.79+361434.8,0.124,13.7,17.5,16.742,1.73,226,2.75,39.91,39.87,8.3,SDSS J142206.79+361434.8,215.52829,36.243
14 25 21.2200,+63 09 21.300,J142521.22+630921.3,0.136,19.8,7.7,15.833,1.89,273,3.22,40.16,39.6,8.7,SDSS J142521.22+630921.3,216.33842,63.15592
14 26 16.3400,+00 50 15.300,J142616.34+005015.3,0.125,88.7,10.1,15.878,1.97,254,2.98,40.73,39.64,8.6,SDSS J142616.34+005015.3,216.56808,0.83758
14 26 23.7600,+55 18 04.900,J142623.76+551804.9,0.132,52.8,8.5,16.254,1.96,205,3.3,40.56,39.62,8.2,SDSS J142623.76+551804.9,216.599,55.30136
14 26 49.2300,+62 10 05.900,J142649.23+621005.9,0.109,25.9,28.5,15.539,1.94,306,3.4,40.07,39.97,8.9,SDSS J142649.23+621005.9,216.70512,62.16831
14 28 32.6000,+42 40 21.000,J142832.60+424021.0,0.129,56.4,48.0,16.182,1.18,251,3.23,40.57,40.35,8.5,SDSS J142832.60+424021.0,217.13583,42.6725
14 31 47.5400,+60 51 09.400,J143147.54+605109.4,0.113,163.0,27.7,15.726,1.94,251,3.19,40.9,39.99,8.5,SDSS J143147.54+605109.4,217.94808,60.85261
14 32 57.8100,+04 37 15.100,J143257.81+043715.1,0.106,68.6,21.8,15.767,1.99,302,3.14,40.46,39.82,8.9,SDSS J143257.81+043715.1,218.24087,4.62086
14 36 38.5600,+01 10 58.800,J143638.56+011058.8,0.137,19.2,15.9,15.944,2.02,326,2.98,40.16,39.93,9.0,SDSS J143638.56+011058.8,219.16067,1.183
14 39 28.7800,+11 06 13.800,J143928.78+110613.8,0.125,39.8,12.7,16.068,1.67,247,2.86,40.39,39.74,8.5,SDSS J143928.78+110613.8,219.86992,11.10383
14 52 15.4600,+50 22 25.100,J145215.46+502225.1,0.094,133.8,13.9,15.124,1.99,246,3.14,40.65,39.52,8.5,SDSS J145215.46+502225.1,223.06442,50.37364
14 55 55.2700,+11 51 41.400,J145555.27+115141.4,0.032,382.0,142.0,13.224,1.98,287,3.3,40.12,39.54,8.8,SDSS J145555.27+115141.4,223.98029,11.8615
15 01 11.5000,+09 35 47.900,J150111.50+093547.9,0.145,15.2,15.3,16.549,1.98,246,3.09,40.1,39.96,8.5,SDSS J150111.50+093548.0,225.29792,9.59664
15 01 48.1400,+16 33 45.600,J150148.14+163345.6,0.15,37.2,3.9,16.488,1.98,225,3.36,40.53,39.4,8.3,SDSS J150148.14+163345.6,225.45058,16.56267
15 04 08.0100,+56 55 45.400,J150408.01+565545.4,0.148,57.3,12.4,16.708,1.98,276,3.3,40.7,39.89,8.7,SDSS J150408.01+565545.4,226.03337,56.92928
15 04 50.5100,+04 40 54.800,J150450.51+044054.8,0.092,53.6,7.7,15.848,1.89,227,2.99,40.23,39.24,8.3,SDSS J150450.51+044054.8,226.21046,4.68189
15 09 57.3700,+33 27 15.000,J150957.37+332715.0,0.117,66.0,11.7,15.956,1.97,266,3.24,40.54,39.65,8.6,SDSS J150957.37+332715.0,227.48904,33.45417
15 09 59.7400,+33 27 46.100,J150959.74+332746.1,0.11,66.0,25.0,16.56,1.9,232,3.1,40.49,39.92,8.4,SDSS J150959.74+332746.1,227.49892,33.46281
15 17 44.9600,+31 00 15.800,J151744.96+310015.8,0.136,49.0,7.1,16.224,1.94,291,3.21,40.55,39.57,8.8,SDSS J151744.96+310015.8,229.43733,31.00439
15 18 45.7200,+06 13 56.100,J151845.72+061356.1,0.102,487.0,26.0,15.589,1.31,297,3.63,41.28,39.86,8.8,SDSS J151845.72+061356.1,229.6905,6.23225
15 20 45.0400,+48 39 22.900,J152045.04+483922.9,0.078,80.6,19.8,15.917,2.12,257,3.04,40.26,39.5,8.6,SDSS J152045.04+483922.9,230.18767,48.65636
15 21 22.5400,+04 20 30.100,J152122.54+042030.1,0.052,452.0,51.4,13.936,1.85,280,2.93,40.64,39.55,8.7,SDSS J152122.54+042030.1,230.34392,4.34169
15 21 26.9900,+48 39 43.200,J152126.99+483943.2,0.074,63.3,17.4,15.628,2.1,256,3.14,40.1,39.4,8.6,SDSS J152126.99+483943.3,230.36246,48.662
15 22 35.1900,+15 57 07.600,J152235.19+155707.6,0.145,25.2,15.2,16.575,2.11,298,3.28,40.33,39.96,8.8,SDSS J152235.19+155707.6,230.64662,15.95211
15 23 26.9100,+28 37 32.500,J152326.91+283732.5,0.082,733.0,48.9,15.021,1.93,234,3.16,41.26,39.94,8.4,SDSS J152326.91+283732.5,230.86212,28.62569
15 25 00.8300,+33 23 59.800,J152500.83+332359.8,0.082,75.5,52.6,15.232,1.84,243,3.21,40.27,39.96,8.5,SDSS J152500.83+332359.8,231.25346,33.39994
15 25 22.3300,+31 40 37.100,J152522.33+314037.1,0.079,51.4,33.7,15.541,2.01,250,3.35,40.07,39.74,8.5,SDSS J152522.33+314037.1,231.34304,31.67697
15 27 15.3100,+13 36 50.900,J152715.31+133650.9,0.144,47.2,25.9,16.172,2.0,291,2.88,40.59,40.19,8.8,SDSS J152715.31+133650.9,231.81379,13.61414
15 27 37.3600,+41 29 47.100,J152737.36+412947.1,0.135,14.3,,16.562,2.0,222,3.07,40.02,,8.3,SDSS J152737.36+412947.1,231.90567,41.49642
15 29 45.6000,+30 42 35.600,J152945.60+304235.6,0.114,88.0,27.8,15.252,2.05,356,3.55,40.64,40.0,9.1,SDSS J152945.60+304235.6,232.44,30.70989
15 31 38.7600,+06 40 45.500,J153138.76+064045.5,0.101,40.1,47.2,14.959,1.83,312,3.25,40.19,40.12,8.9,SDSS J153138.76+064045.5,232.9115,6.67931
15 32 15.3100,+43 38 44.500,J153215.31+433844.5,0.145,26.8,15.9,16.593,1.96,250,3.17,40.35,39.98,8.5,SDSS J153215.31+433844.5,233.06379,43.64569
15 36 21.1100,+08 41 12.100,J153621.11+084112.1,0.126,68.1,18.6,16.255,2.0,266,3.31,40.63,39.92,8.6,SDSS J153621.11+084112.2,234.08796,8.68669
15 39 32.0900,+01 37 10.500,J153932.09+013710.5,0.116,20.1,26.6,16.279,1.99,278,2.93,40.02,39.99,8.7,SDSS J153932.09+013710.5,234.88371,1.61958
15 41 55.1600,+01 25 17.400,J154155.16+012517.4,0.085,113.0,24.5,15.291,1.96,276,3.25,40.48,39.67,8.7,SDSS J154155.16+012517.4,235.47983,1.4215
15 47 09.2200,+35 38 46.100,J154709.22+353846.1,0.079,213.9,36.2,14.574,2.06,355,3.01,40.7,39.78,9.1,SDSS J154709.22+353846.1,236.78842,35.64614
15 52 22.3600,+22 33 11.900,J155222.36+223311.9,0.068,44.8,40.0,14.802,2.04,267,3.44,39.88,39.68,8.6,SDSS J155222.36+223311.9,238.09317,22.55331
15 53 11.9300,+27 33 20.600,J155311.93+273320.6,0.147,115.0,9.0,15.829,1.98,271,2.89,41.0,39.75,8.7,SDSS J155311.93+273320.6,238.29971,27.55572
15 54 01.9900,+15 09 46.800,J155401.99+150946.8,0.132,50.5,19.7,16.59,1.99,240,3.21,40.54,39.98,8.5,SDSS J155401.99+150946.9,238.50829,15.163
15 57 21.3800,+54 40 15.900,J155721.38+544015.9,0.047,90.0,91.8,13.93,1.79,289,3.44,39.84,39.71,8.8,SDSS J155721.39+544015.9,239.33908,54.67108
16 08 16.3200,+37 37 43.100,J160816.32+373743.1,0.103,40.4,13.3,16.018,1.99,248,3.3,40.21,39.59,8.5,SDSS J160816.32+373743.1,242.068,37.62864
16 10 37.7700,+53 24 21.000,J161037.77+532421.0,0.064,61.2,48.6,14.847,2.02,287,3.43,39.95,39.71,8.8,SDSS J161037.77+532421.0,242.65737,53.40583
16 11 14.1100,+26 55 24.200,J161114.11+265524.2,0.032,102.8,111.1,13.437,1.97,263,3.42,39.56,39.44,8.6,SDSS J161114.11+265524.2,242.80879,26.92339
16 12 42.6900,+29 54 04.700,J161242.69+295404.7,0.053,36.1,5.6,14.666,1.98,215,3.29,39.56,38.61,8.3,SDSS J161242.69+295404.7,243.17787,29.90131
16 27 00.4200,+27 55 47.700,J162700.42+275547.7,0.132,14.5,8.7,16.157,1.96,264,2.97,40.0,39.63,8.6,SDSS J162700.42+275547.7,246.75175,27.92992
16 28 06.2000,+08 45 38.000,J162806.20+084538.0,0.143,35.8,8.3,16.376,1.97,279,3.46,40.47,39.69,8.7,SDSS J162806.20+084538.0,247.02583,8.76056
16 29 18.6600,+13 38 24.000,J162918.66+133824.0,0.118,72.0,15.6,16.093,1.96,249,3.31,40.59,39.78,8.5,SDSS J162918.66+133824.0,247.32775,13.64
16 30 43.1400,+16 39 10.800,J163043.14+163910.8,0.09,52.0,7.4,15.7,2.03,224,3.39,40.19,39.2,8.3,SDSS J163043.14+163910.8,247.67975,16.653
16 40 53.9000,+32 47 28.400,J164053.90+324728.4,0.136,50.0,5.4,16.458,1.97,226,3.19,40.56,39.45,8.3,SDSS J164053.90+324728.4,250.22458,32.79122
16 45 48.4500,+39 32 27.400,J164548.45+393227.4,0.141,25.4,37.4,17.304,1.75,186,3.02,40.3,40.33,8.0,SDSS J164548.45+393227.4,251.45187,39.54094
16 48 45.0800,+25 41 19.500,J164845.08+254119.5,0.115,102.6,8.8,16.201,2.02,228,3.13,40.72,39.5,8.4,SDSS J164845.08+254119.5,252.18783,25.68875
16 53 04.9800,+40 07 02.500,J165304.98+400702.5,0.148,87.7,19.4,16.423,1.96,256,3.27,40.89,40.09,8.6,SDSS J165304.98+400702.5,253.27075,40.11736
16 54 25.5300,+41 41 21.200,J165425.53+414121.2,0.147,17.2,6.8,17.283,1.91,201,3.04,40.17,39.62,8.1,SDSS J165425.53+414121.2,253.60637,41.68922
16 54 48.4400,+26 18 41.300,J165448.44+261841.3,0.1,18.8,44.1,15.677,1.97,256,3.31,39.86,40.08,8.6,SDSS J165448.44+261841.3,253.70183,26.31147
16 55 00.1900,+39 08 47.900,J165500.19+390847.9,0.139,54.8,17.5,15.887,2.05,358,3.42,40.63,39.99,9.1,SDSS J165500.19+390847.9,253.75079,39.14664
16 57 44.7700,+21 56 11.100,J165744.77+215611.1,0.141,25.5,23.2,16.862,1.86,277,3.49,40.3,40.12,8.7,SDSS J165744.77+215611.1,254.43654,21.93642
17 00 11.2200,+32 35 14.700,J170011.22+323514.7,0.102,185.0,9.1,15.734,1.87,239,3.26,40.86,39.41,8.4,SDSS J170011.22+323514.7,255.04675,32.58742
17 01 15.5900,+24 06 08.400,J170115.59+240608.4,0.138,26.0,5.2,17.079,2.08,240,3.26,40.3,39.46,8.4,SDSS J170115.59+240608.4,255.31496,24.10233
17 05 43.9900,+58 30 01.200,J170543.99+583001.2,0.114,26.9,,16.436,1.97,183,3.2,40.13,,8.0,SDSS J170543.99+583001.2,256.43329,58.50033
17 06 02.2000,+20 17 57.800,J170602.20+201757.8,0.122,29.3,5.1,15.824,1.93,295,3.16,40.23,39.32,8.8,SDSS J170602.20+201757.8,256.50917,20.29939
17 11 37.9800,+58 03 30.200,J171137.98+580330.2,0.147,42.0,18.6,16.354,2.11,312,3.32,40.56,40.06,8.9,SDSS J171137.98+580330.2,257.90825,58.05839
17 12 23.1500,+64 01 57.100,J171223.15+640157.1,0.08,150.0,10.8,15.848,2.02,235,3.03,40.55,39.26,8.4,SDSS J171223.15+640157.0,258.09646,64.03253
17 12 43.9500,+62 02 45.000,J171243.95+620245.0,0.122,47.2,19.4,16.243,1.86,274,3.35,40.43,39.9,8.7,SDSS J171243.95+620245.0,258.18312,62.04583
17 32 23.7300,+55 24 52.800,J173223.73+552452.8,0.062,54.8,42.6,15.093,2.09,247,3.24,39.88,39.62,8.5,SDSS J173223.73+552452.8,263.09887,55.41467
21 20 05.0000,-07 53 50.100,J212005.00-075350.1,0.139,48.2,22.4,16.844,2.02,263,3.21,40.57,40.09,8.6,SDSS J212005.00-075350.1,320.02083,-7.89725
21 42 39.2900,-08 04 23.800,J214239.29-080423.8,0.128,13.9,8.9,16.904,1.95,231,3.19,39.95,39.61,8.4,SDSS J214239.29-080423.8,325.66371,-8.07328
22 31 43.1900,-08 24 31.700,J223143.19-082431.7,0.083,766.0,61.1,14.149,2.01,301,2.86,41.29,40.04,8.8,SDSS J223143.19-082431.7,337.92996,-8.40881
23 47 02.4200,-01 03 00.900,J234702.42-010300.9,0.133,34.3,5.8,17.507,1.83,202,2.98,40.38,39.46,8.1,SDSS J234702.42-010300.9,356.76008,-1.05025
